time_id,time,week,hour,weekDays,number
10445,2020/12/25 10:23,4,10,1,0
10446,2020/12/25 10:28,4,10,1,0
10447,2020/12/25 10:33,4,10,1,0
10448,2020/12/25 10:38,4,10,1,0
10449,2020/12/25 10:43,4,10,1,0
10450,2020/12/25 10:48,4,10,1,0
10451,2020/12/25 10:53,4,10,1,0
10452,2020/12/25 10:59,4,10,1,0
10453,2020/12/25 11:04,4,11,1,0
10454,2020/12/25 11:09,4,11,1,0
10455,2020/12/25 11:14,4,11,1,0
10456,2020/12/25 11:19,4,11,1,0
10457,2020/12/25 11:24,4,11,1,0
10458,2020/12/25 11:29,4,11,1,0
10459,2020/12/25 11:34,4,11,1,0
10460,2020/12/25 11:39,4,11,1,0
10461,2020/12/25 11:44,4,11,1,0
10462,2020/12/25 11:49,4,11,1,0
10463,2020/12/25 11:55,4,11,1,0
10464,2020/12/25 12:00,4,12,1,0
10465,2020/12/25 12:05,4,12,1,0
10466,2020/12/25 12:10,4,12,1,0
10467,2020/12/25 12:15,4,12,1,0
10468,2020/12/25 12:20,4,12,1,0
10469,2020/12/25 12:25,4,12,1,0
10470,2020/12/25 12:30,4,12,1,0
10471,2020/12/25 12:35,4,12,1,0
10472,2020/12/25 12:40,4,12,1,0
10473,2020/12/25 12:46,4,12,1,0
10474,2020/12/25 12:51,4,12,1,0
10475,2020/12/25 12:56,4,12,1,0
10476,2020/12/25 13:01,4,13,1,0
10477,2020/12/25 13:06,4,13,1,0
10478,2020/12/25 13:11,4,13,1,0
10479,2020/12/25 13:16,4,13,1,0
10480,2020/12/25 13:21,4,13,1,0
10481,2020/12/25 13:26,4,13,1,0
10482,2020/12/25 13:31,4,13,1,0
10483,2020/12/25 13:37,4,13,1,0
10484,2020/12/25 13:42,4,13,1,0
10485,2020/12/25 13:47,4,13,1,0
10486,2020/12/25 13:52,4,13,1,0
10487,2020/12/25 13:57,4,13,1,0
10488,2020/12/25 14:02,4,14,1,0
10489,2020/12/25 14:07,4,14,1,0
10490,2020/12/25 14:12,4,14,1,0
10491,2020/12/25 14:17,4,14,1,0
10492,2020/12/25 14:22,4,14,1,0
10493,2020/12/25 14:28,4,14,1,0
10494,2020/12/25 14:33,4,14,1,0
10495,2020/12/25 14:38,4,14,1,0
10496,2020/12/25 14:43,4,14,1,0
10497,2020/12/25 14:48,4,14,1,0
10498,2020/12/25 14:53,4,14,1,0
10499,2020/12/25 14:58,4,14,1,0
10500,2020/12/25 15:03,4,15,1,0
10501,2020/12/25 15:08,4,15,1,0
10502,2020/12/25 15:13,4,15,1,0
10503,2020/12/25 15:19,4,15,1,0
10504,2020/12/25 15:24,4,15,1,0
10505,2020/12/25 15:29,4,15,1,0
10506,2020/12/25 15:34,4,15,1,0
10507,2020/12/25 15:39,4,15,1,0
10508,2020/12/25 15:44,4,15,1,0
10509,2020/12/25 15:49,4,15,1,0
10510,2020/12/25 15:54,4,15,1,0
10511,2020/12/25 15:59,4,15,1,0
10512,2020/12/25 16:04,4,16,1,0
10513,2020/12/25 16:10,4,16,1,0
10514,2020/12/25 16:15,4,16,1,0
10515,2020/12/25 16:20,4,16,1,0
10516,2020/12/25 16:25,4,16,1,0
10517,2020/12/25 16:30,4,16,1,0
10518,2020/12/25 16:35,4,16,1,0
10519,2020/12/25 16:40,4,16,1,0
10520,2020/12/25 16:45,4,16,1,0
10521,2020/12/25 16:50,4,16,1,0
10522,2020/12/25 16:55,4,16,1,0
10523,2020/12/25 17:00,4,17,1,0
10524,2020/12/25 17:06,4,17,1,0
10525,2020/12/25 17:11,4,17,1,0
10526,2020/12/25 17:16,4,17,1,0
10527,2020/12/25 17:21,4,17,1,0
10528,2020/12/25 17:26,4,17,1,0
10529,2020/12/25 17:31,4,17,1,0
10530,2020/12/25 17:36,4,17,1,0
10531,2020/12/25 17:41,4,17,1,0
