time_id,station_no,avalible_spaces,empty_spaces,forbidden_spaces,diff
81,501202059,16,4,0,0.0
81,501202056,3,9,0,0.0
81,501202064,5,11,0,0.0
81,501206105,1,15,1,0.0
81,501202061,4,7,0,0.0
81,501203081,10,12,0,0.0
81,501208067,3,7,0,0.0
81,501202067,14,1,0,-1.0
81,501218012,5,24,0,0.0
81,501207099,0,19,0,0.0
81,501207100,12,10,0,-1.0
81,501214017,2,8,0,0.0
81,501202069,3,12,0,0.0
81,501210063,4,16,0,0.0
81,501210065,4,6,0,0.0
81,501208066,5,7,0,0.0
81,501208070,17,3,0,0.0
81,501203089,7,4,0,0.0
81,501203090,3,8,0,0.0
81,501203091,6,7,0,0.0
81,501206088,5,9,0,0.0
81,501206089,8,6,0,0.0
81,501203087,11,24,0,0.0
81,501209051,6,9,0,0.0
81,501209054,7,3,0,0.0
81,501205031,13,14,0,0.0
81,501205033,10,5,0,-2.0
81,501206097,6,5,0,0.0
81,501206095,7,10,0,0.0
81,501208071,4,7,0,0.0
81,501206101,6,14,0,0.0
81,501206094,2,10,0,0.0
81,501203086,0,18,0,0.0
81,501208072,2,12,0,-1.0
81,501203088,13,1,0,0.0
81,501209060,0,19,0,0.0
81,501206059,7,8,0,-8.0
81,501206057,6,9,0,0.0
81,501210064,7,10,0,0.0
81,501209050,3,10,0,0.0
81,501209057,7,3,0,0.0
81,501204011,8,6,0,0.0
81,501208064,1,10,0,0.0
81,501208065,4,6,0,0.0
81,501207105,0,25,0,0.0
81,501204014,3,13,0,0.0
81,501204012,5,9,0,1.0
81,501202070,8,8,0,0.0
81,501206102,4,16,0,0.0
81,501206110,8,8,0,0.0
81,501203093,3,10,0,-1.0
81,501206106,9,6,0,0.0
81,501212032,11,5,0,0.0
81,501212028,6,9,0,0.0
81,501212029,6,9,0,0.0
81,501216011,6,9,0,0.0
81,501216024,10,12,0,0.0
81,501222006,4,8,0,0.0
81,501218015,5,10,0,0.0
